"Presidential General Election Returns by County, National Summary (2000)"
"Generated from CQ Press U.S. Political Stats Database, January 14, 2016"
,
,
State,County,"Winning Party","Dem. Candidate (2000)","Dem. Votes","Dem. %","Rep. Candidate (2000)","Rep. Votes","Rep. %","Highest Other (2000)","Other Votes","Other %"
NE,ADAMS,R,"Gore, Albert",3686,29.6,"Bush, George",8162,65.6,"Nader, Ralph",472,3.8
NE,ANTELOPE,R,"Gore, Albert",678,20.1,"Bush, George",2562,76.1,"Nader, Ralph",84,2.5
NE,ARTHUR,R,"Gore, Albert",26,9.6,"Bush, George",235,86.4,"Nader, Ralph",6,2.2
NE,BANNER,R,"Gore, Albert",65,14.1,"Bush, George",390,84.4,"Nader, Ralph",2,0.4
NE,BLAINE,R,"Gore, Albert",43,12.3,"Bush, George",299,85.7,"Nader, Ralph",5,1.4
NE,BOONE,R,"Gore, Albert",575,20.1,"Bush, George",2196,76.7,"Nader, Ralph",65,2.3
NE,"BOX BUTTE",R,"Gore, Albert",1614,31.7,"Bush, George",3208,63,"Nader, Ralph",203,4
NE,BOYD,R,"Gore, Albert",265,21.3,"Bush, George",931,75,"Nader, Ralph",25,2
NE,BROWN,R,"Gore, Albert",250,14.8,"Bush, George",1375,81.7,"Nader, Ralph",36,2.1
NE,BUFFALO,R,"Gore, Albert",3927,23.9,"Bush, George",11931,72.5,"Nader, Ralph",483,2.9
NE,BURT,R,"Gore, Albert",1223,36.1,"Bush, George",2056,60.6,"Nader, Ralph",73,2.2
NE,BUTLER,R,"Gore, Albert",1028,26.9,"Bush, George",2638,68.9,"Nader, Ralph",108,2.8
NE,CASS,R,"Gore, Albert",3656,35.6,"Bush, George",6144,59.8,"Nader, Ralph",369,3.6
NE,CEDAR,R,"Gore, Albert",1062,24.9,"Bush, George",2989,70,"Nader, Ralph",140,3.3
NE,CHASE,R,"Gore, Albert",306,16.3,"Bush, George",1505,80.3,"Nader, Ralph",38,2
NE,CHERRY,R,"Gore, Albert",446,15.7,"Bush, George",2322,81.6,"Nader, Ralph",50,1.8
NE,CHEYENNE,R,"Gore, Albert",844,20.2,"Bush, George",3207,76.6,"Nader, Ralph",76,1.8
NE,CLAY,R,"Gore, Albert",774,24.1,"Bush, George",2326,72.3,"Nader, Ralph",86,2.7
NE,COLFAX,R,"Gore, Albert",863,26,"Bush, George",2338,70.5,"Nader, Ralph",72,2.2
NE,CUMING,R,"Gore, Albert",857,20.3,"Bush, George",3232,76.7,"Nader, Ralph",91,2.2
